MethodName,MethodFullName,ReturnType,ErrorType,Message
GetTimeZoneInformation,System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetTimeZoneInformation(Microsoft.Win32.Win32Native/TimeZoneInformation&),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetTimeZoneInformation(Microsoft.Win32.Win32Native/TimeZoneInformation&) is non-deterministic [PInvokeImpl Flag Set]
GetDynamicTimeZoneInformation,System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetDynamicTimeZoneInformation(Microsoft.Win32.Win32Native/DynamicTimeZoneInformation&),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::GetDynamicTimeZoneInformation(Microsoft.Win32.Win32Native/DynamicTimeZoneInformation&) is non-deterministic [PInvokeImpl Flag Set]
GetFileMUIPath,"System.Boolean Microsoft.Win32.UnsafeNativeMethods::GetFileMUIPath(System.Int32,System.String,System.Text.StringBuilder,System.Int32&,System.Text.StringBuilder,System.Int32&,System.Int64&)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.UnsafeNativeMethods::GetFileMUIPath(System.Int32,System.String,System.Text.StringBuilder,System.Int32&,System.Text.StringBuilder,System.Int32&,System.Int64&) is non-deterministic [PInvokeImpl Flag Set]"
LoadString,"System.Int32 Microsoft.Win32.UnsafeNativeMethods::LoadString(Microsoft.Win32.SafeLibraryHandle,System.Int32,System.Text.StringBuilder,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::LoadString(Microsoft.Win32.SafeLibraryHandle,System.Int32,System.Text.StringBuilder,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
LoadLibraryEx,"Microsoft.Win32.SafeLibraryHandle Microsoft.Win32.UnsafeNativeMethods::LoadLibraryEx(System.String,System.IntPtr,System.Int32)",Microsoft.Win32.SafeLibraryHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeLibraryHandle Microsoft.Win32.UnsafeNativeMethods::LoadLibraryEx(System.String,System.IntPtr,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
FreeLibrary,System.Boolean Microsoft.Win32.UnsafeNativeMethods::FreeLibrary(System.IntPtr),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.UnsafeNativeMethods::FreeLibrary(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
RoGetActivationFactory,"System.Int32 Microsoft.Win32.UnsafeNativeMethods::RoGetActivationFactory(System.String,System.Guid&,System.Object&)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.UnsafeNativeMethods::RoGetActivationFactory(System.String,System.Guid&,System.Object&) is non-deterministic [PInvokeImpl Flag Set]"
FormatMessage,"System.Int32 Microsoft.Win32.Win32Native::FormatMessage(System.Int32,System.IntPtr,System.Int32,System.Int32,System.Text.StringBuilder,System.Int32,System.IntPtr)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::FormatMessage(System.Int32,System.IntPtr,System.Int32,System.Int32,System.Text.StringBuilder,System.Int32,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
LocalAlloc_NoSafeHandle,"System.IntPtr Microsoft.Win32.Win32Native::LocalAlloc_NoSafeHandle(System.Int32,System.UIntPtr)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::LocalAlloc_NoSafeHandle(System.Int32,System.UIntPtr) is non-deterministic [PInvokeImpl Flag Set]"
LocalFree,System.IntPtr Microsoft.Win32.Win32Native::LocalFree(System.IntPtr),System.IntPtr,PInvokeImpl Flag Set,Use of System.IntPtr Microsoft.Win32.Win32Native::LocalFree(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
GlobalMemoryStatusExNative,System.Boolean Microsoft.Win32.Win32Native::GlobalMemoryStatusExNative(Microsoft.Win32.Win32Native/MEMORYSTATUSEX&),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::GlobalMemoryStatusExNative(Microsoft.Win32.Win32Native/MEMORYSTATUSEX&) is non-deterministic [PInvokeImpl Flag Set]
VirtualQuery,"System.UIntPtr Microsoft.Win32.Win32Native::VirtualQuery(System.Void*,Microsoft.Win32.Win32Native/MEMORY_BASIC_INFORMATION&,System.UIntPtr)",System.UIntPtr,PInvokeImpl Flag Set,"Use of System.UIntPtr Microsoft.Win32.Win32Native::VirtualQuery(System.Void*,Microsoft.Win32.Win32Native/MEMORY_BASIC_INFORMATION&,System.UIntPtr) is non-deterministic [PInvokeImpl Flag Set]"
VirtualAlloc,"System.Void* Microsoft.Win32.Win32Native::VirtualAlloc(System.Void*,System.UIntPtr,System.Int32,System.Int32)",System.Void*,PInvokeImpl Flag Set,"Use of System.Void* Microsoft.Win32.Win32Native::VirtualAlloc(System.Void*,System.UIntPtr,System.Int32,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
VirtualFree,"System.Boolean Microsoft.Win32.Win32Native::VirtualFree(System.Void*,System.UIntPtr,System.Int32)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::VirtualFree(System.Void*,System.UIntPtr,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
lstrlenA,System.Int32 Microsoft.Win32.Win32Native::lstrlenA(System.IntPtr),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.Win32Native::lstrlenA(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
lstrlenW,System.Int32 Microsoft.Win32.Win32Native::lstrlenW(System.IntPtr),System.Int32,PInvokeImpl Flag Set,Use of System.Int32 Microsoft.Win32.Win32Native::lstrlenW(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SysAllocStringLen,"System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringLen(System.String,System.Int32)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringLen(System.String,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SysStringLen,System.UInt32 Microsoft.Win32.Win32Native::SysStringLen(System.IntPtr),System.UInt32,PInvokeImpl Flag Set,Use of System.UInt32 Microsoft.Win32.Win32Native::SysStringLen(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SysFreeString,System.Void Microsoft.Win32.Win32Native::SysFreeString(System.IntPtr),System.Void,PInvokeImpl Flag Set,Use of System.Void Microsoft.Win32.Win32Native::SysFreeString(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SysAllocStringByteLen,"System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringByteLen(System.Byte[],System.UInt32)",System.IntPtr,PInvokeImpl Flag Set,"Use of System.IntPtr Microsoft.Win32.Win32Native::SysAllocStringByteLen(System.Byte[],System.UInt32) is non-deterministic [PInvokeImpl Flag Set]"
SysStringByteLen,System.UInt32 Microsoft.Win32.Win32Native::SysStringByteLen(System.IntPtr),System.UInt32,PInvokeImpl Flag Set,Use of System.UInt32 Microsoft.Win32.Win32Native::SysStringByteLen(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
SetEvent,System.Boolean Microsoft.Win32.Win32Native::SetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::SetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle) is non-deterministic [PInvokeImpl Flag Set]
ResetEvent,System.Boolean Microsoft.Win32.Win32Native::ResetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::ResetEvent(Microsoft.Win32.SafeHandles.SafeWaitHandle) is non-deterministic [PInvokeImpl Flag Set]
CreateEvent,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateEvent(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateEvent(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
OpenEvent,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenEvent(System.Int32,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenEvent(System.Int32,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
CreateMutex,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateMutex(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateMutex(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
OpenMutex,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenMutex(System.Int32,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenMutex(System.Int32,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
ReleaseMutex,System.Boolean Microsoft.Win32.Win32Native::ReleaseMutex(Microsoft.Win32.SafeHandles.SafeWaitHandle),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::ReleaseMutex(Microsoft.Win32.SafeHandles.SafeWaitHandle) is non-deterministic [PInvokeImpl Flag Set]
CloseHandle,System.Boolean Microsoft.Win32.Win32Native::CloseHandle(System.IntPtr),System.Boolean,PInvokeImpl Flag Set,Use of System.Boolean Microsoft.Win32.Win32Native::CloseHandle(System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]
WriteFile,"System.Int32 Microsoft.Win32.Win32Native::WriteFile(Microsoft.Win32.SafeHandles.SafeFileHandle,System.Byte*,System.Int32,System.Int32&,System.IntPtr)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::WriteFile(Microsoft.Win32.SafeHandles.SafeFileHandle,System.Byte*,System.Int32,System.Int32&,System.IntPtr) is non-deterministic [PInvokeImpl Flag Set]"
CreateSemaphore,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateSemaphore(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Int32,System.Int32,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::CreateSemaphore(Microsoft.Win32.Win32Native/SECURITY_ATTRIBUTES,System.Int32,System.Int32,System.String) is non-deterministic [PInvokeImpl Flag Set]"
ReleaseSemaphore,"System.Boolean Microsoft.Win32.Win32Native::ReleaseSemaphore(Microsoft.Win32.SafeHandles.SafeWaitHandle,System.Int32,System.Int32&)",System.Boolean,PInvokeImpl Flag Set,"Use of System.Boolean Microsoft.Win32.Win32Native::ReleaseSemaphore(Microsoft.Win32.SafeHandles.SafeWaitHandle,System.Int32,System.Int32&) is non-deterministic [PInvokeImpl Flag Set]"
OpenSemaphore,"Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenSemaphore(System.Int32,System.Boolean,System.String)",Microsoft.Win32.SafeHandles.SafeWaitHandle,PInvokeImpl Flag Set,"Use of Microsoft.Win32.SafeHandles.SafeWaitHandle Microsoft.Win32.Win32Native::OpenSemaphore(System.Int32,System.Boolean,System.String) is non-deterministic [PInvokeImpl Flag Set]"
GetSystemDirectory,"System.Int32 Microsoft.Win32.Win32Native::GetSystemDirectory(System.Text.StringBuilder,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 Microsoft.Win32.Win32Native::GetSystemDirectory(System.Text.StringBuilder,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
GetStdHandle,System.IntPtr Microsoft.Win32.Win32Native::GetStdHandle(System.Int32),System.IntPtr,PInvokeImpl Flag Set,Use of System.IntPtr Microsoft.Win32.Win32Native::GetStdHandle(System.Int32) is non-deterministic [PInvokeImpl Flag Set]
